"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","AEP Gateway Service","0","","246","0","A user should be able to select a cost index when building a cost measure.","0"
"0","Webapp Code Search Servlet","0","","17","0","A user shall be able to multi-query for codes in the advanced search modal.","0"
"0","Webapp Code Search Servlet","0","","74","0","A user shall be able to query codes with wildcards of * and ?.","0"
"0","Sanity Checks","0","","26","0","The config map should contain valid urls for all services.","0"
"0","Projects Service","0","","8","0","A user shall be able view a folder tree in a project.","0"
"0","Webapp Code Search Servlet","0","","461","0","A user shall be able to specify the maximum number of results returned by webapp when querying code-search.","0"
"0","Sanity Checks","0","","10","0","All library folders should be available through projects-service.","0"
"0","Sanity Checks","0","","6","0","The config map should contain valid entries for the sso-domain.","0"
"0","Sanity Checks","0","","72","0","God Mode should have all permissions except for READ_ONLY_REPORTS and SUBSTANTIATE LOCKED.","0"
"0","Projects Service","0","","8","0","A user shall be able view a paginated folder tree.","0"
"0","Sanity Checks","0","","10","0","All library folders should be queryable in an instance.","0"
"0","Study Output Service","0","","10","0","","0"
"0","Sanity Checks","0","","1","0","A user should be redirected to the the correct sso domain from gateway.","0"
"0","AEP Gateway Service","0","","3","0","A user shall be able to view all component measures (upstream) used within a measure with hierarchy","0"
"0","Projects Service","0","","8","0","A user shall be able to get a project folder's descendants.","0"
"0","Webapp Code Search Servlet","0","","5","0","A user shall be able to see unmatched queries when there are no matches returned.","0"
"0","Projects Service","0","","8","0","A user shall be able to delete a single folder.","0"
"0","Projects Service","0","","8","0","A user shall be able to update a folder's name.","0"
"0","Sanity Checks","0","","10","0","Each instance shall contain exactly one library root folder.","0"
"0","Webapp Code Search Servlet","0","","17","0","A user shall be able to search codes used by a dataset.","0"
"0","Authorization Service","0","","1","0","A user should be able to get their permissions assigned to them.","0"
"0","Sanity Checks","0","","22","0","A user should be able to view all datasets installed in an instance.","0"
"0","Projects Service","0","","1","0","A user shall be able to view their project's reports from its root folder.","0"
"0","","0","","1","0","Code-search service's health check endpoint will be available to show that it is healthy.","0"
"0","Projects Service","0","","10","0","A user shall be able to create a folder in the library.","0"
"0","Authorization Service","0","","1","0","An authenticated admin user should be able to list all users.","0"
"0","Authorization Service","0","","1","0","An authenticated admin user should be able to get all users in an instance.","0"
"0","List Service","0","","11","0","List service should be able to list entities from the library.","0"
"0","List Service","0","","1","0","A should be able to query paginated resultjob from a library folder.","0"
"0","Projects Service","0","","1","0","A user shall be able to change their project's name.","0"
"0","Projects Service","0","","1","0","A user shall be able to create a project.","0"
"0","Projects Service","0","","8","0","A user shall be able to get a folder with its ancestors.","0"
"0","Projects Service","0","","10","0","A user shall be able to get a library folder's descendants.","0"
"0","","0","","1","0","Gateway's health check endpoint will be available to show that it is healthy.","0"
"0","Projects Service","0","","8","0","A user shall be able to delete a folder and all folders nested within it.","0"
"0","Projects Service","0","","7","0","A user should be able to get to a project by its folder.","0"
"0","List Service","0","","6","0","List service should be able to list entities from projects.","0"
"0","List Service","0","","1","0","A should be able to query paginated measure from a project folder.","0"
"0","","0","","1","0","Table pop server's health check endpoint will be available to show that it is healthy.","0"
"0","","0","","1","0","An admin user shall be able to delete an existing sso configuration.","0"
"0","Projects Service","0","","1","0","A user shall be able to unarchive a project.","0"
"0","Mac Service","0","","13","0","","0"
"0","Projects Service","0","","8","0","A user shall be able to create a folder in a project.","0"
"0","Projects Service","0","","1","0","A user shall be view all projects from the projects library.","0"
"0","","0","","1","0","Authorization service's health check endpoint will be available to show that it is healthy.","0"
"0","List Service","0","","1","0","A should be able to query paginated report from a library folder.","0"
"0","Authorization Service","0","","1","0","An authenticated admin user should be able to update a global permission's description through access-ui.","0"
"0","Projects Service","0","","8","0","A user shall be able to get a folder with all of its children.","0"
"0","Schema Service","0","Patient Datasets Controller","1","0","A user shall be able to get the latest patient dataset in an instance by its uuid from schema service.","0"
"0","Schema Service","0","Patient Datasets Controller","1","0","A user should be able to get a coding system by the patient dataset's id using schema-service.","0"
"0","Webapp Code Search Servlet","0","","1","0","A user needs to be authenticated in order to search codes.","0"
"0","","0","","1","0","Authentication service's health check endpoint will be available to show that it is healthy.","0"
"0","List Service","0","","2","0","A should be able to query paginated measure from a library folder.","0"
"0","Sanity Checks","0","","1","0","God Mode should be assigned to the test user.","0"
"0","","0","","1","0","Schema service's health check endpoint will be available to show that it is healthy.","0"
"0","Projects Service","0","","1","0","A user shall be able to archive a project.","0"
"0","Sanity Checks","0","","1","0","The config map should contain a valid client secret for the api client.","0"
"0","List Service","0","","1","0","A should be able to query paginated resultjob from a project folder.","0"
"0","","0","","2","0","An admin user shall be able to create a new sso configuration.","0"
"0","List Service","0","","3","0","A should be able to query paginated analysis from a library folder.","0"
"0","List Service","0","","1","0","A should be able to query paginated cohort from a library folder.","0"
"0","Dispatcher","0","","1","0","Generate a Smart Risk Profiling job from end to end using SynPUF Subset.","0"
"0","","0","","3","0","An admin user shall be able to list sso configurations for all instances.","0"
"0","Projects Service","0","","10","0","A user shall be able view a folder tree in a library.","0"
"0","Schema Service","0","","1","0","A user shall be able to get a dataset's coding system from schema-service using its id.","0"
"0","","0","","1","0","Job service's health check endpoint will be available to show that it is healthy.","0"
"0","Schema Service","0","Patient Datasets Controller","1","0","A user shall be able to list patient datasets using schema-service. The default ordering returned shall be by the updatedAt field descending.","0"
"0","Sanity Checks","0","","1","0","All Substantiate library folders should be available through aep-gateway.","0"
"0","","0","","1","0","Projects service's health check endpoint will be available to show that it is healthy.","0"
