"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","161","Verify that we can select a cost index from api/cost-index/{indexName} with HTTP GET. Verify that we can download the raw inflation data from CUUR0000SEMF01_1739577889081.json","","Tue Feb 24 18:28:35 GMT 2026","passed","Tue Feb 24 18:28:35 GMT 2026","","AEP Gateway - Cost Index Controller Integration Test","com.aetion.konohanasakuya.integration.component.client.aepgateway.CostIndexControllerIntegrationTest","testGetCostIndex"
"","590","Verify that we can query HCPC codes through webapp's code-search servlet. 4 - Search HCPC codes in event attribute: HCPCS Procedure Code Position 3","","Tue Feb 24 18:28:04 GMT 2026","passed","Tue Feb 24 18:28:05 GMT 2026","","Verify that a user can query multiple codes separated with a delimiter through the code search modal.","com.aetion.konohanasakuya.integration.component.webapp.codesearch.SearchCodesWithDelimiterIntegrationTest","testSearchHCPCCodes"
"","286","Verify that we can query ICD-9/10 procedure codes through webapp's code-search servlet while using a wildcard expression. 12 - Search ICD-9/10 procedure codes using query with wildcard, ""*49"" with event attribute: Outpatient - ICD-9 Diagnosis Code Position 5","","Tue Feb 24 18:28:01 GMT 2026","passed","Tue Feb 24 18:28:02 GMT 2026","","Test searching coding systems while using regular expressions through the advanced code search dialogue.","com.aetion.konohanasakuya.integration.component.webapp.codesearch.RegularExpressionSearchIntegrationTest","testSearchIcd9ProcedureCodesWithWildcard"
"","244","Verify that we can select a cost index from api/cost-index/{indexName} with HTTP GET. Verify that we can download the raw inflation data from CUUR0000SAM2_1718409979236.json","","Tue Feb 24 18:28:05 GMT 2026","passed","Tue Feb 24 18:28:05 GMT 2026","","AEP Gateway - Cost Index Controller Integration Test","com.aetion.konohanasakuya.integration.component.client.aepgateway.CostIndexControllerIntegrationTest","testGetCostIndex"
"","2","testAllServicesUrlsArePresentInTheConfigMap(String, Integer) Sanity check the config maps entry for a valid url for {0}","","Tue Feb 24 18:24:12 GMT 2026","passed","Tue Feb 24 18:24:12 GMT 2026","","Verify that the config map contains all necessary values for a KubernetesAepConfigurationSource to be instantiated.","com.aetion.konohanasakuya.integration.sanity.K8sAepConfigurationSourceSourceConfigMapTest","testAllServicesUrlsArePresentInTheConfigMap"
"","99","Verify getFolderTree is accessible from the api/v2/folder/{folderType}/{folderId} endpoint with HTTP GET With the v2 endpoint, verify that we can getFolderTree() for a DATA_VIEW_DRAFT folder in a project.","","Tue Feb 24 18:28:29 GMT 2026","passed","Tue Feb 24 18:28:29 GMT 2026","","Projects Service - Folders Controller Read-Only Test","com.aetion.konohanasakuya.integration.component.client.projects.ReadOnlyFoldersControllerIntegrationTest","testGetFolderTreeInProject"
"","154","Verify that the max number of results is honored by webapp's code search servlet when it is set to 1. 106 - When searching codes with query, ""*"", and maxNumResults of 1, exactly one result should be returned while searching event attribute: HCPCS Procedure Code Position 13","","Tue Feb 24 18:28:48 GMT 2026","passed","Tue Feb 24 18:28:48 GMT 2026","","Verify that the maximum number of results is honored when sending a request to search codes.","com.aetion.konohanasakuya.integration.component.webapp.codesearch.MaximumNumberOfResultsIntegrationTest","testMaximumNumberOfResultsHonoredWhenLow"
"When aep-gateway makes the call to /ui/folders/libraries, there is a series of underlying promises
to projects-service that will grab the root folder with the api call used in this test.
aep-gateway will populate the root folder map with the results of these promises if they are fulfilled.
If projects-service cannot return the root folder in this test, then gateway won't be able to load
them into Substantiate.

DATA_VIEW and DATA_VIEW_DRAFT folder types are excluded because they are not relevant for Substantiate.

If the other test fails, check if this one is working to attempt to isolate the issue.

Note that COHORT_JOB, RESULT_JOB, and CUSTOM_OUTPUT share the same root folder id. All of these
correspond to the job folder.
","288","Verify that all root library folders are available through projects-service. [3] folderType=COHORT","","Tue Feb 24 18:24:19 GMT 2026","passed","Tue Feb 24 18:24:20 GMT 2026","","Verify that the folders' tables have been seeded correctly.","com.aetion.konohanasakuya.integration.sanity.LibraryFoldersSanityCheckIntegrationTest","testLibraryRootFolderFromProjectsService"
"","176","Verify that we can select a cost index from api/cost-index/{indexName} with HTTP GET. Verify that we can download the raw inflation data from CUUR0000SEMF01_1760141088708.json","","Tue Feb 24 18:28:35 GMT 2026","passed","Tue Feb 24 18:28:35 GMT 2026","","AEP Gateway - Cost Index Controller Integration Test","com.aetion.konohanasakuya.integration.component.client.aepgateway.CostIndexControllerIntegrationTest","testGetCostIndex"
"","210","Verify that we can query ICD-9/10 procedure codes through webapp's code-search servlet while using a wildcard expression. 7 - Search ICD-9/10 procedure codes using query with wildcard, ""*249"" with event attribute: Inpatient - Admitting ICD-9 Diagnosis Code","","Tue Feb 24 18:28:00 GMT 2026","passed","Tue Feb 24 18:28:00 GMT 2026","","Test searching coding systems while using regular expressions through the advanced code search dialogue.","com.aetion.konohanasakuya.integration.component.webapp.codesearch.RegularExpressionSearchIntegrationTest","testSearchIcd9ProcedureCodesWithWildcard"
"","169","Verify that the max number of results is honored by webapp's code search servlet when it is webapp's default value of 1000. 184 - When searching codes with query, ""P"", and maxNumResults of 1000, 1000 or less results should be returned while searching event attribute: Inpatient - HCPCS Procedure Code Position 21","","Tue Feb 24 18:28:53 GMT 2026","passed","Tue Feb 24 18:28:53 GMT 2026","","Verify that the maximum number of results is honored when sending a request to search codes.","com.aetion.konohanasakuya.integration.component.webapp.codesearch.MaximumNumberOfResultsIntegrationTest","testMaximumResultsHonoredWhenWebappDefaults"
"","2","Verify all properties are present in the aetion config map that are necessary to instantiate the sso-domain properties. Verify that the aep entry in the config map contains the ""cognitoApiAppClientSecret"" property","","Tue Feb 24 18:24:19 GMT 2026","passed","Tue Feb 24 18:24:19 GMT 2026","","Verify that the config map contains all necessary values for a KubernetesAepConfigurationSource to be instantiated.","com.aetion.konohanasakuya.integration.sanity.K8sAepConfigurationSourceSourceConfigMapTest","testCognitoSsoDomainPropertiesPresent"
"","3","Verify god mode has all permissions. 16 - Sanity check that God Mode has the Download Global Cohorts permission set to true","","Tue Feb 24 18:24:16 GMT 2026","passed","Tue Feb 24 18:24:16 GMT 2026","","Verify that god mode is enabled and assigned to the test user.","com.aetion.konohanasakuya.integration.sanity.GodModeSanityCheckIntegrationTest","testGodModeHasAllPermissions"
"","47","Verify getTopNFolderTree is accessible from the api/v2/folder/paginated/{folderType}/{folderId} endpoint. With the v2 endpoint, verify that we can exercise getTopNFolderTree with a COHORT folder.","","Tue Feb 24 18:28:16 GMT 2026","passed","Tue Feb 24 18:28:16 GMT 2026","","Projects Service - Folders Controller Read-Only Test","com.aetion.konohanasakuya.integration.component.client.projects.ReadOnlyFoldersControllerIntegrationTest","testGetTopNFolderTree"
"","375","Verify that the max number of results is honored by webapp's code search servlet when it is set to 1. 31 - When searching codes with query, ""*"", and maxNumResults of 1, exactly one result should be returned while searching event attribute: Line ICD-9 Diagnosis Code Position 7","","Tue Feb 24 18:28:39 GMT 2026","passed","Tue Feb 24 18:28:39 GMT 2026","","Verify that the maximum number of results is honored when sending a request to search codes.","com.aetion.konohanasakuya.integration.component.webapp.codesearch.MaximumNumberOfResultsIntegrationTest","testMaximumNumberOfResultsHonoredWhenLow"
"","167","Verify that the max number of results is honored by webapp's code search servlet when it is webapp's default value of 1000. 48 - When searching codes with query, ""A"", and maxNumResults of 1000, 1000 or less results should be returned while searching event attribute: Carrier Claims - Line Processing Indicator Code 11","","Tue Feb 24 18:28:22 GMT 2026","passed","Tue Feb 24 18:28:23 GMT 2026","","Verify that the maximum number of results is honored when sending a request to search codes.","com.aetion.konohanasakuya.integration.component.webapp.codesearch.MaximumNumberOfResultsIntegrationTest","testMaximumResultsHonoredWhenWebappDefaults"
