"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11510","Create Ever/Always/Never Flag by browsing measure type categories","chromium","Fri Mar 06 13:44:49 UTC 2026","passed","Fri Mar 06 13:45:01 UTC 2026","","measures/ever-always-never.spec.ts","",""
"","15001","Should allow specifying the timeperiod information","chromium","Fri Mar 06 13:46:05 UTC 2026","passed","Fri Mar 06 13:46:20 UTC 2026","","measures/time-categorization.spec.ts","",""
"","48382","Should be able to execute an event exploration for a specific cohort","chromium","Fri Mar 06 13:43:46 UTC 2026","passed","Fri Mar 06 13:44:35 UTC 2026","","measures/common/event-exploration.spec.ts","",""
"","11091","Select entry criteria dates relative to parent cohort","chromium","Fri Mar 06 13:41:57 UTC 2026","passed","Fri Mar 06 13:42:08 UTC 2026","","cohort-definitions/common/cohort-definitions-entry-date.spec.ts","",""
"","152568","Should allow configuration and execution of Descriptive Analysis","chromium","Fri Mar 06 13:38:31 UTC 2026","passed","Fri Mar 06 13:41:03 UTC 2026","","analysis/analysis-descriptive.spec.ts","",""
"","16378","Generated Comparative Cohort should have correct criteria in read-only mode","chromium","Fri Mar 06 13:42:32 UTC 2026","passed","Fri Mar 06 13:42:48 UTC 2026","","cohorts/cohorts-comparative.spec.ts","",""
"","18741","Duplicate/Edit/Lock/Archive/Delete measures from Measure Library","chromium","Fri Mar 06 13:43:12 UTC 2026","passed","Fri Mar 06 13:43:31 UTC 2026","","lists/measures-list.spec.ts","",""
"","10448","Should be able to create a comparative cohort from an external source","chromium","Fri Mar 06 13:41:45 UTC 2026","passed","Fri Mar 06 13:41:55 UTC 2026","","cohort-definitions/cohort-definitions-external-comparative.spec.ts","",""
"","11263","Generated Comparative Cohort can be used in an analysis plan","chromium","Fri Mar 06 13:42:32 UTC 2026","passed","Fri Mar 06 13:42:43 UTC 2026","","cohorts/cohorts-comparative.spec.ts","",""
"","25646","Configure recategorization measure to recategorize input values","chromium","Fri Mar 06 13:45:14 UTC 2026","passed","Fri Mar 06 13:45:39 UTC 2026","","measures/recategorization.spec.ts","",""
"","78450","Generate Comparative Cohort (MARKETSCAN_TINY_ADM)","base-cohorts","Fri Mar 06 13:34:05 UTC 2026","passed","Fri Mar 06 13:35:23 UTC 2026","","setup/base-cohorts/base-comparative.setup.ts","",""
"","14165","Should allow setting of days for custom lag","chromium","Fri Mar 06 13:46:03 UTC 2026","passed","Fri Mar 06 13:46:17 UTC 2026","","measures/start-end-flag.spec.ts","",""
"","5626","Add and configure an Outcome","chromium","Fri Mar 06 13:40:25 UTC 2026","skipped","Fri Mar 06 13:40:31 UTC 2026","","analysis/analysis-self-controlled-risk.spec.ts","",""
"","22275","Verify results actions","chromium","Fri Mar 06 13:46:40 UTC 2026","passed","Fri Mar 06 13:47:03 UTC 2026","","results/results.spec.ts","",""
"","31437","Import exclusion criteria from another cohort and batch edit it","chromium","Fri Mar 06 13:42:25 UTC 2026","passed","Fri Mar 06 13:42:57 UTC 2026","","cohort-definitions/common/cohort-definitions-import-exclusion-criteria.spec.ts","",""
"","13300","should allow the target date to be set to the year","chromium","Fri Mar 06 13:44:05 UTC 2026","passed","Fri Mar 06 13:44:18 UTC 2026","","measures/cost-inflation-adjusted.spec.ts","",""
"","13335","Create a complete board","chromium","Fri Mar 06 13:41:11 UTC 2026","passed","Fri Mar 06 13:41:25 UTC 2026","","boards/board.spec.ts","",""
"","12621","Should be able to set Output to select flag values or categorical values","chromium","Fri Mar 06 13:45:01 UTC 2026","passed","Fri Mar 06 13:45:13 UTC 2026","","measures/lines-of-therapy.spec.ts","",""
"","75549","Generate Descriptive Cohort (Patients) (MARKETSCAN_TINY_ADM)","base-cohorts","Fri Mar 06 13:34:05 UTC 2026","passed","Fri Mar 06 13:35:20 UTC 2026","","setup/base-cohorts/base-descriptive.setup.ts","",""
"","14415","Should create an incomplete comparative cohort definition","chromium","Fri Mar 06 13:41:29 UTC 2026","passed","Fri Mar 06 13:41:43 UTC 2026","","cohort-definitions/cohort-definitions-comparative.spec.ts","",""
"","8761","Should display page not found dialog","chromium","Fri Mar 06 13:38:12 UTC 2026","passed","Fri Mar 06 13:38:21 UTC 2026","","404.spec.ts","",""
"","77853","Create and execute Self-Controlled Case Series Analysis Plan","chromium","Fri Mar 06 13:39:47 UTC 2026","passed","Fri Mar 06 13:41:05 UTC 2026","","analysis/analysis-self-controlled-case.spec.ts","",""
"","26175","Configure recategorization measure to generate flag values (dichotomization)","chromium","Fri Mar 06 13:45:13 UTC 2026","passed","Fri Mar 06 13:45:39 UTC 2026","","measures/recategorization.spec.ts","",""
"","11352","Should be able to create a Category Change Flag measure","chromium","Fri Mar 06 13:43:31 UTC 2026","passed","Fri Mar 06 13:43:42 UTC 2026","","measures/category-change-flag.spec.ts","",""
"","11725","Should define descriptive cohort entry criterion","chromium","Fri Mar 06 13:41:41 UTC 2026","passed","Fri Mar 06 13:41:53 UTC 2026","","cohort-definitions/cohort-definitions-descriptive.spec.ts","",""
